scenario_id,character_id,source_message_order,display_name,avatar,is_correct,response_text,voice
s1,teacher,3,王老師（班導）,assets/images/characters/s1_teacher.webp,true,"哎呀，這個停課快訊是假的！\n教育部有停課通知，學校依定會公告在學校網頁或正式官方管道發布，\n不會只靠新聞網路截圖或LINE群組傳遞。\n你剛剛發現的 3 個破綻：\n❌ 沒有官方標誌（只有緊急快訊）\n❌ 文字排版亂七八糟\n❌ 時間戳記不合邏輯\n這些都是 AI 假造圖片的典型特徵！\n以後看到停課消息，記得直接查「學校官網」或打電話確認喔！",assets/audio/voices/s1_correct.mp3
s1,teacher,4,王老師（班導）,assets/images/characters/s1_teacher.webp,true,"這個校長公告是假的！\n你看，左上角的頭像是灰色轉傳圖示，不是學校或校長的官方帳號。\n真正的學校公告一定會有：校徽、正式公文格式、並透過校務系統發出，不會用這種截圖流傳。\n❌ 來源頭像非官方，可信度幾乎是零！\n記住：看到停課訊息，先問老師或查學校官網，不要只看群組截圖！",assets/audio/voices/s1_correct.mp3
s1,classmate,3,小明（LINE 同學）,assets/images/characters/s1_classmate.webp,false,"天啊！我也有看到這個消息！我媽媽群組也在傳！\n那明天真的不用上課嗎？好棒喔！我要去睡到中午！",assets/audio/voices/s1_classmate.mp3
s1,classmate,4,小明（LINE 同學）,assets/images/characters/s1_classmate.webp,false,"啊這個校長公告我看起來很正常耶⋯\n那明天還是要去上課嗎？好可惜⋯",assets/audio/voices/s1_classmate.mp3
s1,netizen,3,神秘網友,assets/images/characters/s1_netizen.webp,false,"感覺好像是真的耶...最近颱風確實很多。\n我認識的人也說可能會停課，我們就等等看吧！",assets/audio/voices/s1_netizen.mp3
s1,netizen,4,神秘網友,assets/images/characters/s1_netizen.webp,false,"校長發的應該是真的吧？學校不會騙人啊⋯\n我覺得這個看起來蠻正式的，應該沒問題吧？",assets/audio/voices/s1_netizen.mp3
s2,director,2,李主任（學務）,assets/images/characters/s2_director.webp,true,"哇，這個『捐贈新聞』是假的！\n你想想看：如果真的有企業要捐 1000 臺平板，學校會收到正式的公文、邀請函，不會只是網路上的一張圖片。\n你發現的這 3 個破綻：\n❌ 企業 LOGO 模糊不清楚\n❌ 學生手指異常\n❌ 背景櫃子邊界模糊、像是 P 上去的\n這明顯是 AI 合成的假新聞，目的是騙你點連結，可能被盜個資！\n以後看到『太好的事』，先冷靜想：這合理嗎？",assets/audio/voices/s2_correct.mp3
s2,director,4,李主任（學務）,assets/images/characters/s2_director.webp,true,"這個填表單活動看起來超可疑！\n你發現的 3 個破綻讓我非常警覺：\n❌ 要求填身分證號、家長電話、住址⋯這遠超過正常活動需要的資料\n❌ 主辦單位只寫「愛心企業」，查不到任何公司名稱或統編\n❌ 沒有隱私政策說明，根本不知道你的資料會被怎麼用\n這種表單就是在偷你的個資！填了可能會被詐騙電話騷擾，甚至被盜用身份！\n記住：正式活動一定有清楚的主辦單位和隱私權政策！",assets/audio/voices/s2_correct.mp3
s2,classmate,2,小華（同學）,assets/images/characters/s2_classmate.webp,false,"哇！這企業好好心喔！\n我也想要那個平板，我們學校算不算偏鄉啊？\n我去申請看看！你也快去填表！",assets/audio/voices/s2_classmate.mp3
s2,classmate,4,小華（同學）,assets/images/characters/s2_classmate.webp,false,"咦這個表單要填好多資料耶⋯\n但是如果真的可以得到禮物的話，填一填也沒關係吧？\n反正又不收錢，試試看嘛！",assets/audio/voices/s2_classmate.mp3
s2,fake_company,2,『公司』官方,assets/images/characters/s2_fake_company.webp,false,"您好！感謝您的關注！\n我們確實有此活動，請點擊連結填寫資料，即可獲得平板！\n名額有限！",assets/audio/voices/s2_fake_company.mp3
s2,fake_company,4,『公司』官方,assets/images/characters/s2_fake_company.webp,false,"您好！感謝您的熱情參與！\n請放心填寫表單，您的資料只會用於活動通知，絕對安全！\n活動名額即將截止，請盡快完成填寫！",assets/audio/voices/s2_fake_company.mp3
